Spot.ID,Frame,Area,Quality,Source.spot.ID,IF_Divided,Time,generation_count,track
2921,0,1.01094075,243,NA,N,0,0,1
2305,1,1.1066265,266,2921,N,0.833333333333333,0,1
2761,2,1.181511,284,2305,N,1.66666666666667,0,1
2747,3,1.2231135,294,2761,N,2.5,0,1
2721,4,1.1731905,282,2747,N,3.33333333333333,0,1
2560,5,1.214793,292,2721,N,4.16666666666667,0,1
2880,6,1.15238925,277,2560,N,5,0,1
2766,7,1.2064725,290,2880,N,5.83333333333333,0,1
3161,8,1.231434,296,2766,N,6.66666666666667,0,1
3122,9,1.2896775,310,3161,N,7.5,0,1
3802,10,1.347921,324,3122,N,8.33333333333333,0,1
3613,11,1.44360675,347,3802,N,9.16666666666667,0,1
3920,12,0.75300525,181,3613,Y,10,1,1
4036,13,0.76964625,185,3920,N,10.8333333333333,1,1
3587,14,0.86117175,207,4036,N,11.6666666666667,1,1
3853,15,0.76964625,185,3587,N,12.5,1,1
4323,16,0.798768,192,3853,N,13.3333333333333,1,1
5272,17,0.8070885,194,4323,N,14.1666666666667,1,1
4874,18,0.8070885,194,5272,N,15,1,1
5172,19,0.8902935,214,4874,N,15.8333333333333,1,1
4932,20,0.81124875,195,5172,N,16.6666666666667,1,1
5488,21,0.8736525,210,4932,N,17.5,1,1
5384,22,0.898614,216,5488,N,18.3333333333333,1,1
5049,23,1.0400625,250,5384,N,19.1666666666667,1,1
6566,24,1.10246625,265,5049,N,20,1,1
6791,25,1.19399175,287,6566,N,20.8333333333333,1,1
6822,26,1.1565495,278,6791,N,21.6666666666667,1,1
6793,27,1.15238925,277,6822,N,22.5,1,1
5735,28,1.231434,296,6793,N,23.3333333333333,1,1
6195,29,1.248075,300,5735,N,24.1666666666667,1,1
2923,0,0.8736525,210,NA,N,0,0,2
2312,1,0.96933825,233,2923,N,0.833333333333333,0,2
2765,2,1.048383,252,2312,N,1.66666666666667,0,2
2749,3,0.95269725,229,2765,N,2.5,0,2
2770,4,0.9734985,234,2749,N,3.33333333333333,0,2
2561,5,1.0400625,250,2770,N,4.16666666666667,0,2
2881,6,1.11910725,269,2561,N,5,0,2
2767,7,1.04422275,251,2881,N,5.83333333333333,0,2
3163,8,1.10246625,265,2767,N,6.66666666666667,0,2
3041,9,1.08582525,261,3163,N,7.5,0,2
3513,10,0.54499275,131,3041,Y,8.33333333333333,1,2
3247,11,0.5574735,134,3513,N,9.16666666666667,1,2
3922,13,0.6906015,166,3247,N,10.8333333333333,1,2
3295,14,0.6573195,158,3922,N,11.6666666666667,1,2
3492,15,0.732204,176,3295,N,12.5,1,2
4087,16,0.632358,152,3492,N,13.3333333333333,1,2
4463,17,0.5907555,142,4087,N,14.1666666666667,1,2
4288,18,0.599076,144,4463,N,15,1,2
4667,19,0.62819775,151,4288,N,15.8333333333333,1,2
4487,20,0.61987725,149,4667,N,16.6666666666667,1,2
5099,22,0.80292825,193,4487,N,18.3333333333333,1,2
5770,24,0.73636425,177,5099,N,20,1,2
5861,25,0.9734985,234,5770,N,20.8333333333333,1,2
2925,0,0.99846,240,NA,N,0,0,3
2318,1,1.0067805,242,2925,N,0.833333333333333,0,3
2836,2,1.01926125,245,2318,N,1.66666666666667,0,3
2763,3,1.098306,264,2836,N,2.5,0,3
2772,4,1.01094075,243,2763,N,3.33333333333333,0,3
2579,5,0.97765875,235,2772,N,4.16666666666667,0,3
2883,6,1.114947,268,2579,N,5,0,3
2831,7,1.0899855,262,2883,N,5.83333333333333,0,3
3165,8,1.015101,244,2831,N,6.66666666666667,0,3
3130,9,1.0400625,250,3165,N,7.5,0,3
3804,10,0.981819,236,3130,N,8.33333333333333,0,3
3617,11,1.01094075,243,3804,N,9.16666666666667,0,3
3926,12,1.0067805,242,3617,N,10,0,3
4039,13,1.05254325,253,3926,N,10.8333333333333,0,3
3597,14,1.10246625,265,4039,N,11.6666666666667,0,3
3898,15,1.081665,260,3597,N,12.5,0,3
4342,16,1.031742,248,3898,N,13.3333333333333,0,3
5282,17,0.99429975,239,4342,N,14.1666666666667,0,3
4887,18,1.02758175,247,5282,N,15,0,3
5182,19,1.0067805,242,4887,N,15.8333333333333,0,3
4953,20,0.981819,236,5182,N,16.6666666666667,0,3
5492,21,1.01094075,243,4953,N,17.5,0,3
5387,22,0.91109475,219,5492,N,18.3333333333333,0,3
5058,23,0.948537,228,5387,N,19.1666666666667,0,3
6586,24,1.01094075,243,5058,N,20,0,3
6804,25,1.03590225,249,6586,N,20.8333333333333,0,3
6836,26,1.01926125,245,6804,N,21.6666666666667,0,3
6806,27,0.97765875,235,6836,N,22.5,0,3
5738,28,0.9901395,238,6806,N,23.3333333333333,0,3
