Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2048,2048,67,153,980.8300654,687.8627451,0,0,0,6.978639738,1,,49152,49152,49152,49152,7520256,0,1,Infinity,-0.08389486,0.006274075,7.543801002,6.521770029,1.354648644,1.156710673,153,56,0.613091423,0.930091185,4.527331667
ID2306,2306,,280,1230.196429,79.61785714,0,0,0,9.440697439,1,,28523,28523,28523,28523,7986440,0,1,Infinity,-0.001927055,0.022098001,12.84879616,6.948484731,-0.796927184,1.849150809,280,84,0.498665501,0.930232558,5.019960159
ID2051,2051,30,312,123.8589744,127.974359,0,0,0,9.96557497,1,,59650,59650,59650,59650,1.86E+07,0,1,Infinity,-0.368645401,0.178484563,14.98018334,6.971600521,1.49488508,2.148743793,312,88,0.506289725,0.916299559,4.98201895
ID2309,2309,794,223,1095.367713,290.9686099,0,0,0,8.425147157,1,,30316,30316,30316,30316,6760468,0,0.805791327,Infinity,-0.052787861,0.091086506,10.05421814,7.262499269,0.515641543,1.384401949,223,68,0.606033877,0.942917548,4.553616805
ID2567,2567,68,353,852.4985836,811.6572238,0,0,0,10.6001599,1,,15306,15306,15306,15306,5403018,0,1,Infinity,-0.006226054,0.050498876,16.34867384,6.893832393,2.219311381,2.371492793,353,100,0.443592883,0.915693904,5.322462954
ID2314,2314,37,278,370.3345324,335.6079137,0,0,0,9.406920238,1,,20078,20078,20078,20078,5581684,0,1,Infinity,0.411252524,0.077834722,12.80691226,7.470527092,1.529188419,1.714325121,278,78,0.574202997,0.95042735,4.678129122
ID2061,2061,69,248,163.5,974.6209677,0,0,0,8.884866447,1,,18699,18699,18699,18699,4637352,0,1,Infinity,0.027730211,-0.084439666,11.76185425,6.993873782,0.16795571,1.681736705,248,72,0.601168965,0.941176471,4.572004572
ID2318,2318,70,191,235.2722513,992.6230366,0,0,0,7.797255175,1,,42097,42097,42097,42097,8040527,0,0.843393364,Infinity,0.047016686,-0.01752715,8.816572685,6.946923386,-1.403360852,1.269133427,191,64,0.585980661,0.927184466,4.630877474
ID2319,2319,71,182,584.9835165,204.8681319,0,0,0,7.611333608,1,,30068,30068,30068,30068,5472376,0,0.817684469,Infinity,-0.018295406,-0.008955725,8.219010121,7.074215571,0.910107608,1.161826359,182,62,0.594973843,0.921518987,4.595745763
ID2577,2577,72,380,1003.502632,977.7236842,0,0,0,10.99807968,1,,64461,64461,64461,64461,2.45E+07,0,0.980673502,Infinity,0.329981179,-0.300592825,17.34819165,6.961437967,2.422107659,2.492041405,380,106,0.424992954,0.921212121,5.437685266
ID2322,2322,46,329,204.5319149,405.4255319,0,0,0,10.23347217,1,,43385,43385,43385,43385,1.43E+07,0,1,Infinity,0.123312053,0.029891571,15.60622121,6.698916487,0.474839641,2.329663497,329,96,0.448604159,0.905089409,5.292651326
ID2578,2578,1,176,492.0454545,585.8522727,0,0,0,7.484820637,1,,25295,25295,25295,25295,4451920,0,1,Infinity,-0.119774213,-0.004136068,9.385998285,6.062089119,-0.204113808,1.548310838,176,64,0.539961237,0.911917098,4.824181513
ID2579,2579,38,336,669.4880952,513.2142857,0,0,0,10.34176589,1,,34771,34771,34771,34771,1.17E+07,0,1,Infinity,-0.090844971,-0.013382478,15.52559578,6.873838629,0.309098442,2.258650024,336,94,0.477852029,0.923076923,5.128120421
ID2324,2324,,1,512,800,0,0,0,0.564189584,1,,29050,29050,29050,29050,29050,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2580,2580,74,158,1252.443038,259.8860759,0,0,0,7.091753099,1,,25047,25047,25047,25047,3957426,0,0.919724816,Infinity,0.091552836,0.026493107,8.00537391,6.475581553,0.56734922,1.23624015,158,60,0.551524044,0.910662824,4.773343705
ID2070,2070,,1,520,792,0,0,0,0.564189584,1,,45840,45840,45840,45840,45840,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2582,2582,75,184,796.6521739,999.8586957,0,0,0,7.653039857,1,,41178,41178,41178,41178,7576752,0,0.931030698,Infinity,-0.181539863,0.230637686,10.44061907,5.880224487,0.055686345,1.7755477,184,66,0.53081088,0.910891089,4.865584553
ID2327,2327,76,126,132.3492063,721.1984127,0,0,0,6.333012368,1,,3967,3967,3967,3967,499842,0,1,Infinity,-0.059881082,0.011052143,6.570497737,6.189081598,0.670002131,1.06162726,126,52,0.585563128,0.919708029,4.632528193
ID2072,2072,77,117,1003.076923,999.8119658,0,0,0,6.102643418,1,,51217,51217,51217,51217,5992389,0,1,Infinity,0.003987267,-0.006543428,7.001623534,5.475173682,0.16384568,1.278794782,117,54,0.504206228,0.869888476,4.992301766
ID2329,2329,78,97,883.3608247,414.6185567,0,0,0,5.556622982,1,,24704,24704,24704,24704,2396288,0,1,Infinity,0.012756347,0.025971852,5.734837163,5.477461965,-1.559044987,1.046988039,97,48,0.52905293,0.898148148,4.873661593
ID2585,2585,79,259,1242.667954,245.1969112,0,0,0,9.079772052,1,,17119,17119,17119,17119,4433821,0,0.92392133,Infinity,-0.219464803,-0.125309591,13.23613929,6.449585384,-0.132376819,2.05224654,259,82,0.484040748,0.897746967,5.095232081
ID2587,2587,81,315,358.2126984,656.6190476,0,0,0,10.01337177,1,,46815,46815,46815,46815,1.47E+07,0,0.992271781,Infinity,-0.139660828,-0.115548176,15.04347526,6.791554897,0.422269225,2.215026675,315,90,0.488692191,0.915697674,5.070925528
ID2333,2333,7,130,157.3384615,668.8461538,0,0,0,6.432750983,1,,33920,33920,33920,33920,4409600,0,1,Infinity,-0.009911568,0.06410585,6.98381102,5.986930451,1.62951108,1.166509462,130,52,0.604152433,0.931899642,4.5607017
ID2589,2589,,1,520,816,0,0,0,0.564189584,1,,18660,18660,18660,18660,18660,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2078,2078,3,220,1081.254545,276.8818182,0,0,0,8.368283872,1,,25363,25363,25363,25363,5579860,0,0.766463451,Infinity,-0.031667157,0.005008749,9.172155903,7.648205226,0.475859524,1.199255986,220,70,0.564204395,0.916666667,4.719399037
ID2079,2079,,1,520,800,0,0,0,0.564189584,1,,6681,6681,6681,6681,6681,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2591,2591,26,245,335.4530612,680.2734694,0,0,0,8.830963827,1,,3559,3559,3559,3559,871955,0,0.526952898,Infinity,0.028179318,0.057371094,12.12382675,6.383122587,0.680390304,1.899356715,245,78,0.506042209,0.919324578,4.983237207
ID2080,2080,,1,496,800,0,0,0,0.564189584,1,,33305,33305,33305,33305,33305,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2337,2337,82,247,1240.757085,737.1659919,0,0,0,8.866935315,1,,62337,62337,62337,62337,1.54E+07,0,1,Infinity,-0.25412841,0.097822694,12.6037238,6.344727634,-0.376239523,1.986487762,247,78,0.510173166,0.914814815,4.963021151
ID2593,2593,6,249,545.1767068,478.0963855,0,0,0,8.902761463,1,,58855,58855,58855,58855,1.47E+07,0,1,Infinity,-0.056601167,-0.05430469,12.67340981,6.596567126,1.565597197,1.921212892,249,76,0.541728927,0.925650558,4.816304304
ID2084,2084,,1,504,800,0,0,0,0.564189584,1,,16668,16668,16668,16668,16668,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2596,2596,83,230,757.1086957,726.6956522,0,0,0,8.556358678,1,,4589,4589,4589,4589,1055470,0,0.1244761,Infinity,-0.029698571,0.099848962,9.633923216,7.703855407,0.444392205,1.250532715,230,70,0.589850049,0.927419355,4.615663314
ID2086,2086,,1,528,808,0,0,0,0.564189584,1,,64030,64030,64030,64030,64030,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2342,2342,84,427,1245.34192,763.2459016,0,0,0,11.65840132,1,,40325,40325,40325,40325,1.72E+07,0,1,Infinity,-0.027344433,-0.036530578,17.47732686,7.723029278,2.438060623,2.263014451,427,108,0.460034315,0.92826087,5.22648632
ID2602,2602,18,318,486.6823899,632.9559748,0,0,0,10.0609415,1,,51951,51951,51951,51951,1.65E+07,0,1,Infinity,-0.059798227,0.02468607,14.00663803,7.228206145,0.502038403,1.93777512,318,88,0.516026066,0.933920705,4.934794956
ID2091,2091,43,306,718.9117647,718.6830065,0,0,0,9.869286964,1,,31777,31777,31777,31777,9723762,0,1,Infinity,0.168808089,-0.028315704,12.68229098,8.018773903,-1.516011394,1.581574831,306,80,0.600829595,0.942989214,4.573295604
ID2347,2347,85,276,1130.163043,965.5253623,0,0,0,9.373021316,1,,59272,59272,59272,59272,1.64E+07,0,1,Infinity,0.096891631,0.048641865,12.10022051,7.653795837,0.053210083,1.580943726,276,74,0.633367109,0.956672444,4.454276564
ID2604,2604,42,299,512.9799331,498.7759197,0,0,0,9.755749893,1,,24818,24818,24818,24818,7420582,0,1,Infinity,0.061451415,-0.035353004,12.88411262,7.43728115,-1.525251061,1.732368639,299,84,0.532503517,0.928571429,4.857845429
ID2094,2094,,1,512,816,0,0,0,0.564189584,1,,35618,35618,35618,35618,35618,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2606,2606,,1,528,816,0,0,0,0.564189584,1,,29170,29170,29170,29170,29170,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2607,2607,,1,528,800,0,0,0,0.564189584,1,,21493,21493,21493,21493,21493,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2352,2352,48,319,344.8902821,136.1598746,0,0,0,10.07674817,1,,14474,14474,14474,14474,4617206,0,1,Infinity,0.011760757,-0.061460348,14.37769771,7.244617495,-0.259601104,1.984604118,319,88,0.51764879,0.924637681,4.927054096
ID2609,2609,86,210,486.0428571,868.2238095,0,0,0,8.175883811,1,,28662,28662,28662,28662,6019020,0,1,Infinity,0.081816299,0.030434782,11.90379284,5.585928538,0.531785529,2.131032066,210,74,0.481909757,0.913043478,5.106485139
ID2611,2611,,1,488,800,0,0,0,0.564189584,1,,50678,50678,50678,50678,50678,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2100,2100,44,341,84.58357771,252.1759531,0,0,0,10.4184294,1,,14376,14376,14376,14376,4902216,0,1,Infinity,-0.120528765,0.092797355,15.40487243,7.025453979,-0.574476992,2.192722701,341,94,0.484962922,0.929155313,5.090385394
ID2357,2357,87,218,758.9816514,745.146789,0,0,0,8.330159374,1,,50314,50314,50314,50314,1.10E+07,0,0.989456869,Infinity,-0.026945953,-0.012168776,10.76874702,6.427175138,0.364948381,1.675502346,218,74,0.500268224,0.915966387,5.011912415
ID2613,2613,88,534,1151.108614,804.0374532,0,0,0,13.03754115,1,,11768,11768,11768,11768,6284112,0,1,Infinity,-0.111825015,0.154297396,19.577556,8.979693542,-1.512730489,2.180203133,534,112,0.53495232,0.940140845,4.846714011
ID2102,2102,,1,504,816,0,0,0,0.564189584,1,,59690,59690,59690,59690,59690,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2614,2614,45,220,295.9318182,130.4954545,0,0,0,8.368283872,1,,39929,39929,39929,39929,8784380,0,1,Infinity,-0.088166377,0.03751104,11.99325361,5.944672189,0.138505158,2.017479388,220,70,0.564204395,0.942184154,4.719399037
ID2615,2615,89,165,1132.672727,476.230303,0,0,0,7.247146419,1,,47868,47868,47868,47868,7898220,0,1,Infinity,0.063144523,0.045623677,8.123995207,6.549037069,0.075139894,1.240486979,165,58,0.616364789,0.94017094,4.515293876
ID2106,2106,751,209,577.5215311,185.8899522,0,0,0,8.156394192,1,,48431,48431,48431,48431,1.01E+07,0,0.894926325,Infinity,-0.056551034,-0.030772918,9.463995669,7.132515778,0.92718858,1.326880439,209,66,0.602931923,0.937219731,4.565315462
ID2365,2365,35,265,931.0150943,626.6867925,0,0,0,9.184341013,1,,52876,52876,52876,52876,1.40E+07,0,1,Infinity,-0.085904804,0.003174135,10.8342579,7.895820923,2.21408261,1.372150914,265,76,0.576538818,0.93639576,4.668642888
ID2113,2113,90,330,82.01515152,149.8121212,0,0,0,10.24901275,1,,48178,48178,48178,48178,1.59E+07,0,0.909528192,Infinity,0.231509771,-0.350475669,15.51783297,6.839193756,-1.232877739,2.268956477,330,96,0.449967698,0.895522388,5.284626073
ID2369,2369,91,321,54.09657321,140.9844237,0,0,0,10.10828737,1,,13966,13966,13966,13966,4483086,0,0.362063832,Infinity,0.249807273,3.83E-04,15.7163345,6.389168449,2.981483665,2.459840374,321,98,0.420013012,0.896648045,5.469826607
ID2116,2116,,1,504,792,0,0,0,0.564189584,1,,10803,10803,10803,10803,10803,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2374,2374,92,313,1073.546326,174.7348243,0,0,0,9.981532667,1,,31886,31886,31886,31886,9980318,0,1,Infinity,0.07583973,-0.013879337,14.64063801,6.820564433,0.643386107,2.146543465,313,92,0.464706286,0.921944035,5.200147454
ID2119,2119,,1,496,808,0,0,0,0.564189584,1,,21813,21813,21813,21813,21813,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2377,2377,,1,488,808,0,0,0,0.564189584,1,,51857,51857,51857,51857,51857,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2387,2387,29,224,195.0580357,579.9419643,0,0,0,8.444016491,1,,31641,31641,31641,31641,7087584,0,1,Infinity,-0.039660711,-0.001723501,10.07042464,7.160951565,1.099855755,1.406296991,224,70,0.574462657,0.931392931,4.677071733
ID2132,2132,94,203,784.1576355,836.5517241,0,0,0,8.038464212,1,,35894,35894,35894,35894,7286482,0,1,Infinity,0.180067601,0.029851481,11.56150789,5.839317661,-0.13934691,1.979941589,203,66,0.585622873,0.931192661,4.632291882
ID2392,2392,,1,512,808,0,0,0,0.564189584,1,,53146,53146,53146,53146,53146,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2138,2138,25,175,314.9714286,92.99428571,0,0,0,7.463526652,1,,44855,44855,44855,44855,7849625,0,1,Infinity,-0.007047617,4.25E-04,8.620580707,6.576416473,-1.385290455,1.31083254,175,60,0.610865238,0.928381963,4.535573676
ID2404,2404,97,453,1137.869757,906.1986755,0,0,0,12.00809637,1,,1692,1692,1692,1692,766476,0,1,Infinity,-0.016027449,0.227861786,18.98108904,7.861876154,0.04946811,2.414320534,453,108,0.488045772,0.921668362,5.074282646
ID2408,2408,98,332,692.8253012,682.9728916,0,0,0,10.28002345,1,,10397,10397,10397,10397,3451804,0,1,Infinity,0.121025878,-0.048919342,14.8594226,7.291074878,2.836828528,2.038029077,332,92,0.492915293,0.915862069,5.04915596
ID2156,2156,99,338,351.0325444,675.7366864,0,0,0,10.37249929,1,,9534,9534,9534,9534,3222492,0,0.920383589,Infinity,0.194313128,0.230877251,17.2510486,6.133832996,0.843939712,2.812441848,338,106,0.378020049,0.908602151,5.765639908
ID2412,2412,100,132,1129.606061,730.8333333,0,0,0,6.482044814,1,,46239,46239,46239,46239,6103548,0,1,Infinity,0.115342027,0.036049403,8.001812578,5.344777874,0.570708318,1.497127246,132,54,0.568848053,0.923076923,4.700096711
ID2162,2162,,1,496,816,0,0,0,0.564189584,1,,63299,63299,63299,63299,63299,NaN,1,NaN,0,0,0,0,-0.785398163,NaN,1,4,0.785398163,1,4
ID2163,2163,779,289,488.5397924,124.6747405,0,0,0,9.59122292,1,,43079,43079,43079,43079,1.24E+07,0,1,Infinity,-0.059284207,-0.206785629,12.96372973,7.490246047,2.932542209,1.730748182,289,80,0.567450173,0.930756844,4.705882353
ID2419,2419,2,427,687.7189696,484.676815,0,0,0,11.65840132,1,,50087,50087,50087,50087,2.14E+07,0,0.9838732,Infinity,0.076968294,0.058321022,17.164669,7.95869799,-0.539065898,2.156718225,427,110,0.443457872,0.916309013,5.323273103
