Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2561,2561,0,174,391.9482759,505.3505747,0,0,0,7.442171739,1,,2702,2702,2702,2702,470148,0,1,Infinity,0.002091887,0.013069951,8.634766462,6.387859646,0.908808546,1.351746428,174,62,0.568821146,0.928,4.70020787
ID2819,2819,1,179,517.0055866,197.3631285,0,0,0,7.548342177,1,,18143,18143,18143,18143,3247597,0,1,Infinity,-0.022351084,-0.059903357,8.052553222,7.182153618,2.244674258,1.121189221,179,62,0.585166582,0.915601023,4.634097575
ID2568,2568,3,223,453.4618834,598.426009,0,0,0,8.425147157,1,,5265,5265,5265,5265,1174095,0,1,Infinity,0.005083139,0.072993586,8.97879718,8.106491561,1.027708617,1.107605813,223,68,0.606033877,0.933054393,4.553616805
ID2575,2575,4,196,436.4387755,221.0102041,0,0,0,7.89865417,1,,59793,59793,59793,59793,1.17E+07,0,0.977600222,Infinity,-0.020066248,0.01267539,8.532283933,7.404725319,0.619867712,1.152275549,196,62,0.640741062,0.946859903,4.428571429
ID2831,2831,5,198,423.3838384,204.6010101,0,0,0,7.938851143,1,,10211,10211,10211,10211,2021778,0,0.454958268,Infinity,0.081875152,0.005773284,8.807867027,7.311173853,1.271566981,1.204713115,198,66,0.571198664,0.918793503,4.69041576
ID2837,2837,6,373,680.3646113,664.7050938,0,0,0,10.89631073,1,,19171,19171,19171,19171,7150783,0,1,Infinity,-0.1225891,-0.133286426,18.9957028,6.58220452,-0.108714501,2.885918045,373,104,0.433363188,0.887039239,5.38491588
ID2583,2583,7,219,529.9908676,850.9954338,0,0,0,8.349243383,1,,27541,27541,27541,27541,6031479,0,1,Infinity,0.205413042,0.010738696,8.923303117,7.988775376,1.104926845,1.1169801,219,66,0.631780341,0.943965517,4.459866697
ID2075,2075,8,216,1128.125,517.5833333,0,0,0,8.291859587,1,,13840,13840,13840,13840,2989440,0,1,Infinity,-0.042591472,-0.010305417,10.63583833,6.476907701,2.387728937,1.642116704,216,72,0.523598776,0.925053533,4.898979486
ID2843,2843,9,197,1061.761421,729.1878173,0,0,0,7.918778162,1,,49380,49380,49380,49380,9727860,0,1,Infinity,-0.034959572,0.027912757,9.272900622,6.793482815,0.433964234,1.364970057,197,66,0.568313823,0.922716628,4.702305299
ID2590,2590,10,358,647.7849162,745.5167598,0,0,0,10.67496788,1,,6043,6043,6043,6043,2163394,0,1,Infinity,-0.075073458,-0.219977976,13.58592688,8.47986047,0.651540889,1.60214038,358,92,0.531517094,0.945838838,4.862351088
ID2847,2847,11,233,865.6094421,531.055794,0,0,0,8.61198023,1,,52198,52198,52198,52198,1.22E+07,0,1,Infinity,0.035259047,0.034758136,10.43094337,7.166194831,0.748375848,1.455576302,233,70,0.597543746,0.947154472,4.585852475
ID2083,2083,12,319,664.9780564,120.015674,0,0,0,10.07674817,1,,29457,29457,29457,29457,9396783,0,1,Infinity,0.023197026,-0.003233435,12.92065693,7.949179853,2.781926002,1.625407548,319,86,0.542005439,0.931386861,4.815075594
ID2851,2851,13,65,1040.046154,946.8461538,0,0,0,4.548641841,1,,13545,13545,13545,13545,880425,0,1,Infinity,0.034062668,0.02510099,4.78536042,4.517087667,3.037580419,1.059390646,65,36,0.630257785,0.915492958,4.465250445
ID2597,2597,14,237,937.1898734,396.1603376,0,0,0,8.685588237,1,,16795,16795,16795,16795,3980415,0,1,Infinity,0.030968854,0.152192792,8.971142578,8.54113632,1.018899351,1.050345322,237,70,0.607802007,0.933070866,4.546988617
ID16169,16169,859,-1,827.5,635.5,0,0,0,5,1,,25626.26804,27019,0,27019,2485748,6005.189319,0.17356434,1.262240914,0,0,5,5,0,1,78.53981634,31.41592654,1,1,3.544907702
ID2090,2090,16,312,851.7692308,493.6955128,0,0,0,9.96557497,1,,47635,47635,47635,47635,1.49E+07,0,1,Infinity,-0.063821318,0.065350976,12.91524576,7.874612048,-1.45618407,1.640112006,312,84,0.555655843,0.925816024,4.755563543
ID2858,2858,,138,278.8768116,738.3913043,0,0,0,6.627726933,1,,57065,57065,57065,57065,7874970,0,1,Infinity,0.3164295,-0.109196357,7.773338018,5.974577553,2.767309109,1.301069063,138,52,0.641331045,0.93877551,4.42653396
ID2863,2863,18,430,1091.211628,76.40697674,0,0,0,11.69928421,1,,19946,19946,19946,19946,8576780,0,1,Infinity,-0.370753949,0.028878993,16.25253885,8.526916217,-0.212353609,1.90602774,430,106,0.48091308,0.869565217,5.111773915
ID2608,2608,19,236,1177.610169,188.9110169,0,0,0,8.667244841,1,,35234,35234,35234,35234,8315224,0,1,Infinity,0.063818064,0.248628235,10.63162124,7.477980542,3.128414394,1.421723576,236,68,0.641363206,0.951612903,4.426422973
ID2868,2868,20,402,103.6119403,124.8457711,0,0,0,11.31196598,1,,42477,42477,42477,42477,1.71E+07,0,1,Infinity,0.220084785,-0.011611429,17.7498771,7.487482468,-0.187439745,2.370606832,402,98,0.525997604,0.931633835,4.887795747
ID2613,2613,21,343,854.1341108,610.6413994,0,0,0,10.44893731,1,,8355,8355,8355,8355,2865765,0,1,Infinity,0.003296975,0.038952985,12.39840737,8.873447171,0.529402717,1.397248119,343,86,0.582783278,0.935879945,4.643563526
ID2869,2869,22,180,351.1888889,410.0666667,0,0,0,7.569397566,1,,44271,44271,44271,44271,7968780,0,1,Infinity,-0.02201504,0.006872294,8.284980486,6.909768276,0.674361509,1.19902436,180,62,0.588435669,0.932642487,4.621207153
ID2103,2103,23,321,876.3333333,946.2928349,0,0,0,10.10828737,1,,13846,13846,13846,13846,4444566,0,1,Infinity,0.006695914,0.196066061,13.78728906,7.683587417,1.380435346,1.794381753,321,82,0.599911506,0.9455081,4.576793692
ID2617,2617,24,242,97.49173554,649.3760331,0,0,0,8.776730169,1,,41641,41641,41641,41641,1.01E+07,0,1,Infinity,0.028714029,0.101608912,9.941700817,7.910896636,1.18163934,1.256709735,242,70,0.620624834,0.9453125,4.499770426
ID2621,2621,27,220,351.0590909,634.2409091,0,0,0,8.368283872,1,,34730,34730,34730,34730,7640600,0,0.925022402,Infinity,-0.024681272,-0.094775619,9.743550939,7.35566927,2.574438251,1.324631462,220,68,0.597880955,0.938166311,4.584559065
ID2881,2881,,247,704.0040486,243.9595142,0,0,0,8.866935315,1,,41712,41712,41712,41712,1.03E+07,0,1,Infinity,-0.024431688,0.007192162,9.667207347,8.173134378,1.526981788,1.182802937,247,72,0.598744896,0.937381404,4.581250293
ID2114,2114,28,210,1009.42381,558.247619,0,0,0,8.175883811,1,,64537,64537,64537,64537,1.36E+07,0,0.99154367,Infinity,0.139830095,0.147493797,8.975316379,7.879918638,1.23211419,1.139011301,210,66,0.605816765,0.923076923,4.554432692
ID2883,2883,29,247,1095.769231,120.7368421,0,0,0,8.866935315,1,,54256,54256,54256,54256,1.34E+07,0,1,Infinity,-0.058545359,-0.071975199,10.51268704,7.570629892,0.082757719,1.388614579,247,72,0.598744896,0.939163498,4.581250293
ID2118,2118,30,398,434.5477387,794.2788945,0,0,0,11.25554684,1,,50714,50714,50714,50714,2.02E+07,0,1,Infinity,-0.086065473,0.110840919,17.07917936,7.053925552,1.208491864,2.421230453,398,114,0.384842683,0.819773429,5.714303661
ID2887,2887,,243,1085.946502,221.5185185,0,0,0,8.794845214,1,,2034,2034,2034,2034,494262,0,1,Infinity,4.36E-04,-0.013078528,9.475954746,8.263737308,0.232890475,1.146691187,243,70,0.6231894,0.94368932,4.490502094
ID2122,2122,31,185,373.5297297,625.0702703,0,0,0,7.673807982,1,,63770,63770,63770,63770,1.18E+07,0,0.998039353,Infinity,-0.027273929,0.015361198,7.917359703,7.458647358,2.458853375,1.061500742,185,62,0.604781104,0.929648241,4.558330657
ID2890,2890,32,231,225.7705628,536.5497835,0,0,0,8.574939283,1,,37622,37622,37622,37622,8690682,0,1,Infinity,-0.165010439,-0.009831819,12.10282552,6.349252204,2.764099574,1.906181253,231,74,0.530100733,0.920318725,4.868842543
ID2893,2893,34,190,1013.363158,539.7157895,0,0,0,7.776816725,1,,3320,3320,3320,3320,630800,0,0.293952257,Infinity,0.041361812,0.120138595,9.527101958,6.489775715,-0.274676777,1.468017136,190,68,0.516351734,0.911270983,4.933238501
ID2638,2638,35,187,1018.336898,337.0588235,0,0,0,7.715176519,1,,16046,16046,16046,16046,3000602,0,0.92543351,Infinity,0.255064392,-0.010328886,8.989434984,7.001000285,-1.46451475,1.284021514,187,62,0.611319278,0.944444444,4.53388903
