Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2634,2634,35,302,47.65562914,457.1390728,0,0,0,9.80456963,1,,50242,50242,50242,50242,1.52E+07,0,1,Infinity,-0.028783517,-0.142180607,12.60156549,7.685561277,2.149612068,1.639641535,302,82,0.564402725,0.945226917,4.718569769
ID2635,2635,36,205,347.2195122,441.9853659,0,0,0,8.077965503,1,,27716,27716,27716,27716,5681780,0,1,Infinity,0.059522233,-0.027735607,8.658267479,7.657492864,3.111353887,1.130692203,205,64,0.628932123,0.938215103,4.469953893
ID2636,2636,37,163,727.9693252,302.7361963,0,0,0,7.20309041,1,,40006,40006,40006,40006,6520978,0,1,Infinity,-0.041853013,0.055669553,8.051490737,6.57834082,-1.504385884,1.223939434,163,58,0.608893701,0.926136364,4.54291061
ID2637,2637,38,249,793.5823293,23.85943775,0,0,0,8.902761463,1,,51783,51783,51783,51783,1.29E+07,0,1,Infinity,0.031392416,0.028711568,11.53731095,6.825098979,0.95596949,1.690423976,249,78,0.514304123,0.922222222,4.943049154
ID2638,2638,39,201,270.0646766,584.7910448,0,0,0,7.99876785,1,,35914,35914,35914,35914,7218714,0,1,Infinity,0.08942178,-0.134793399,8.92829501,7.181865264,0.386913348,1.243172168,201,64,0.616660277,0.943661972,4.514211941
ID2639,2639,40,217,1149.43318,655.3410138,0,0,0,8.311031543,1,,3147,3147,3147,3147,682899,0,1,Infinity,-0.025708959,0.06615693,9.989058207,6.920310792,0.524652508,1.443440693,217,72,0.526022844,0.925373134,4.88767848
ID2640,2640,41,202,394.1732673,170.0693069,0,0,0,8.018640596,1,,35916,35916,35916,35916,7255032,0,1,Infinity,-0.083493398,-0.017293755,11.29041583,5.927200676,0.347706011,1.904847912,202,70,0.518042217,0.905829596,4.925182813
ID2641,2641,42,209,1021.559809,290.2440191,0,0,0,8.156394192,1,,45644,45644,45644,45644,9539596,0,1,Infinity,0.037619095,0.200848701,10.24227243,6.827305823,1.691206841,1.500192417,209,66,0.602931923,0.926829268,4.565315462
ID2642,2642,43,262,1109.389313,462.019084,0,0,0,9.132206206,1,,64589,64589,64589,64589,1.69E+07,0,1,Infinity,-0.084418609,-0.014169879,13.25622707,6.222818387,-0.729693892,2.13026096,262,86,0.445158072,0.919298246,5.313097744
ID2643,2643,44,246,1034.012195,205.5609756,0,0,0,8.848967849,1,,15954,15954,15954,15954,3924684,0,1,Infinity,0.071945996,0.049488804,12.17970237,6.497488577,0.020657642,1.87452463,246,74,0.564522858,0.937142857,4.718067677
ID2644,2644,45,179,650.5083799,907.4860335,0,0,0,7.548342177,1,,61012,61012,61012,61012,1.09E+07,0,0.999332832,Infinity,0.001699223,0.011082791,8.109073892,7.053167034,3.124174347,1.14970677,179,60,0.624827872,0.944591029,4.484610557
ID2645,2645,46,160,812.65625,838.9125,0,0,0,7.136496465,1,,18009,18009,18009,18009,2881440,0,0.992017477,Infinity,-0.07389337,-0.058160442,7.821311556,6.60198495,1.184343409,1.18469091,160,58,0.597687068,0.91954023,4.585302607
ID2646,2646,47,190,863.7421053,726.4421053,0,0,0,7.776816725,1,,49244,49244,49244,49244,9356360,0,1,Infinity,-0.046354334,-0.064641155,10.1570788,6.001368532,2.450273701,1.692460436,190,66,0.54811993,0.929095355,4.788143251
ID2647,2647,,169,938.6449704,433.1420118,0,0,0,7.334464586,1,,8286,8286,8286,8286,1400334,0,1,Infinity,-0.143003441,1.82E-04,8.58633533,6.405516848,2.416617433,1.340459409,169,60,0.589921287,0.931129477,4.615384615
ID2648,2648,48,194,37.12371134,549.5670103,0,0,0,7.858251582,1,,64096,64096,64096,64096,1.24E+07,0,1,Infinity,-0.008648445,0.015806694,9.132937368,6.891970507,-1.508112595,1.325156188,194,64,0.595184546,0.92601432,4.594932215
ID2649,2649,49,236,1059.45339,766.8940678,0,0,0,8.667244841,1,,1121,1121,1121,1121,264556,0,0.036044362,Infinity,-0.041888297,0.040459173,11.32799714,6.779203919,-1.238669896,1.67099224,236,78,0.487452904,0.918287938,5.077367528
ID2650,2650,50,206,345.9466019,115.6941748,0,0,0,8.097643889,1,,10853,10853,10853,10853,2235718,0,1,Infinity,-0.0679621,-0.016490307,10.77687205,6.294640858,0.327856007,1.712070997,206,66,0.594277398,0.938496583,4.598437894
ID2651,2651,51,165,915.3636364,319.8060606,0,0,0,7.247146419,1,,61032,61032,61032,61032,1.01E+07,0,1,Infinity,-0.061938489,-0.045121398,8.181346164,6.503329153,0.133531657,1.258024309,165,58,0.616364789,0.9375,4.515293876
ID2652,2652,52,171,1056.362573,947.7192982,0,0,0,7.377736139,1,,7278,7278,7278,7278,1244538,0,1,Infinity,-0.038561574,0.03856613,9.233843005,6.012326739,1.566583506,1.535818562,171,60,0.596902604,0.926829268,4.588314677
ID2653,2653,53,166,1192.271084,813.2710843,0,0,0,7.269074295,1,,35950,35950,35950,35950,5967700,0,1,Infinity,-0.052855247,0.011324129,8.521974846,6.327759702,1.596645375,1.346760188,166,62,0.54266845,0.909589041,4.812133259
ID2654,2654,54,209,833.6937799,94.9569378,0,0,0,8.156394192,1,,35954,35954,35954,35954,7514386,0,1,Infinity,0.021548785,-0.008880905,9.132343225,7.508762445,0.52242067,1.216224816,209,66,0.602931923,0.926829268,4.565315462
ID2655,2655,55,201,755.9651741,554.7512438,0,0,0,7.99876785,1,,35954,35954,35954,35954,7226754,0,0.979520429,Infinity,-0.041190219,0.066271986,10.74663747,6.101842847,1.793779351,1.761211776,201,68,0.546245781,0.928406467,4.796350188
