Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2304,2304,655,251,464.4302789,211.6095618,0,0,0,8.938444016,1,,41048,41048,41048,41048,1.03E+07,0,1,Infinity,0.052448034,-0.023651949,11.33820026,7.112563883,-1.290545507,1.594108741,251,78,0.51843508,0.91773309,4.923316344
ID3072,3072,14,249,1057.409639,339.064257,0,0,0,8.902761463,1,,10702,10702,10702,10702,2664798,0,0.974093583,Infinity,0.111077272,-0.073676665,10.48425261,7.879928522,1.501569656,1.330500979,249,72,0.603593033,0.927374302,4.562814604
ID3074,3074,18,279,611.2759857,80.45878136,0,0,0,9.423823971,1,,59087,59087,59087,59087,1.65E+07,0,0.969960345,Infinity,-0.01928651,0.001817703,10.37438811,8.591207041,0.495105119,1.207558852,279,76,0.606997473,0.939393939,4.550000985
ID3076,3076,21,284,153.5598592,50.59507042,0,0,0,9.507891863,1,,13776,13776,13776,13776,3912384,0,1,Infinity,-0.097889314,0.039866719,11.37848034,8.04412345,0.50888574,1.414508419,284,78,0.586595867,0.935749588,4.628448467
ID2821,2821,91,249,901.7429719,611.7148594,0,0,0,8.902761463,1,,23465,23465,23465,23465,5842785,0,1,Infinity,-0.028652231,-0.026232398,10.48379024,7.584090307,1.006274418,1.382339848,249,76,0.541728927,0.92393321,4.816304304
ID2310,2310,,245,565.6857143,736.0857143,0,0,0,8.830963827,1,,53081,53081,53081,53081,1.30E+07,0,0.90570397,Infinity,0.067019054,-0.056451095,9.015549164,8.778305426,1.230661029,1.027026143,245,72,0.593896759,0.933333333,4.599911268
ID3078,3078,25,248,928.2903226,735.4233871,0,0,0,8.884866447,1,,21456,21456,21456,21456,5321088,0,0.763820175,Infinity,0.087679503,0.055851764,11.50981586,6.863056585,0.506345796,1.677068478,248,80,0.486946861,0.905109489,5.08000508
ID3080,3080,26,214,658.411215,649.9439252,0,0,0,8.253382073,1,,2770,2770,2770,2770,592780,0,1,Infinity,-0.049203796,-0.044278799,9.264227008,7.451191215,0.346149971,1.243321603,214,66,0.617356132,0.938596491,4.511667118
ID3081,3081,44,132,1121.628788,546.0530303,0,0,0,6.482044814,1,,28370,28370,28370,28370,3744840,0,1,Infinity,0.06023799,0.043281825,7.117413124,6.19418412,1.226739086,1.149047717,132,50,0.663504368,0.942857143,4.351941399
ID2315,2315,,229,579.2751092,132.0829694,0,0,0,8.537737636,1,,19546,19546,19546,19546,4476034,0,1,Infinity,0.035080899,0.044943611,8.779251302,8.358332964,1.140152922,1.050359125,229,68,0.622339721,0.944329897,4.493566483
ID2827,2827,92,359,797.8802228,538.1754875,0,0,0,10.68986666,1,,55210,55210,55210,55210,1.98E+07,0,1,Infinity,-0.05678645,0.071954548,13.6422996,8.47302298,1.135650907,1.610086463,359,88,0.582557729,0.948480845,4.644462363
ID3083,3083,55,223,984.3183857,346.2376682,0,0,0,8.425147157,1,,44501,44501,44501,44501,9923723,0,1,Infinity,0.057984535,-0.155061729,8.949044789,7.967629424,0.491354902,1.123175328,223,68,0.606033877,0.942917548,4.553616805
ID3086,3086,57,188,1013.319149,900.25,0,0,0,7.735777828,1,,46300,46300,46300,46300,8704400,0,1,Infinity,-0.06191722,-0.017978813,9.735742058,6.209648462,0.395908359,1.567841097,188,66,0.542350247,0.921568627,4.813544719
ID2319,2319,28,117,1203.367521,160.7777778,0,0,0,6.102643418,1,,54107,54107,54107,54107,6330519,0,1,Infinity,0.380862506,-0.014035564,6.534284486,6.131648236,1.08519538,1.065665256,117,48,0.638136008,0.939759036,4.43760157
ID3088,3088,59,214,602.5140187,834.0514019,0,0,0,8.253382073,1,,25053,25053,25053,25053,5361342,0,1,Infinity,0.057723991,-0.074176905,9.45789095,7.292901778,0.104095851,1.296862516,214,68,0.581575111,0.928416486,4.648384304
ID2833,2833,94,206,468.6941748,249.2864078,0,0,0,8.097643889,1,,44717,44717,44717,44717,9211702,0,1,Infinity,-7.97E-04,-0.021444312,8.672931501,7.622052728,-0.55168805,1.137873459,206,66,0.594277398,0.930022573,4.598437894
ID3092,3092,157,296,565.2837838,215.0608108,0,0,0,9.70668462,1,,4069,4069,4069,4069,1204424,0,1,Infinity,-0.039269964,0.052315655,11.67275459,8.01834082,0.551173346,1.455756852,296,82,0.553189426,0.936708861,4.766153188
ID2325,2325,31,304,621.4144737,713.6118421,0,0,0,9.836981519,1,,17247,17247,17247,17247,5243088,0,1,Infinity,0.073136329,-0.024524012,13.4044705,7.209871126,-0.858446349,1.859183092,304,88,0.493307937,0.921212121,5.047146145
ID2838,2838,95,204,1003.039216,614.5490196,0,0,0,8.058239062,1,,63405,63405,63405,63405,1.29E+07,0,0.999732537,Infinity,-0.001140301,-0.107460024,8.725113645,7.614590538,-1.136171997,1.145841474,204,64,0.625864161,0.940092166,4.480896269
ID3094,3094,61,247,434.8016194,607.5303644,0,0,0,8.866935315,1,,39654,39654,39654,39654,9794538,0,1,Infinity,0.226447901,0.042644116,10.63281135,7.905908992,1.489506327,1.344919523,247,70,0.633447662,0.940952381,4.453993341
ID2842,2842,96,225,548.0666667,922.2488889,0,0,0,8.462843753,1,,1710,1710,1710,1710,384750,0,-0.327432453,#NAME?,0.036426925,0.029089507,8.901259109,8.098320247,0.614862802,1.099148816,225,68,0.611469158,0.933609959,4.533333333
ID3098,3098,63,302,1082.430464,345.7086093,0,0,0,9.80456963,1,,52456,52456,52456,52456,1.58E+07,0,0.980819718,Infinity,0.065639929,0.012773889,11.17721387,8.666800071,0.477734198,1.289658672,302,82,0.564402725,0.929230769,4.718569769
ID2331,2331,32,238,809.1344538,120.3613445,0,0,0,8.703892975,1,,10083,10083,10083,10083,2399754,0,1,Infinity,-0.018188014,-0.024850281,9.586910478,7.972829792,0.214522375,1.202447654,238,70,0.610366573,0.938856016,4.537426065
ID2847,2847,97,226,410.3672566,668.2743363,0,0,0,8.481629223,1,,5039,5039,5039,5039,1138814,0,0.498648496,Infinity,-0.085682991,-0.008708966,10.03930012,7.369748942,1.437998972,1.362230952,226,68,0.614186799,0.937759336,4.523292716
ID2850,2850,98,338,1047.405325,522.591716,0,0,0,10.37249929,1,,58032,58032,58032,58032,1.96E+07,0,1,Infinity,-0.034833747,0.069190936,12.62101338,8.747402235,0.508487546,1.442829887,338,84,0.601960497,0.942817294,4.568997663
ID2855,2855,100,280,512.6678571,268.9892857,0,0,0,9.440697439,1,,13493,13493,13493,13493,3778040,0,1,Infinity,0.033839286,-0.059312872,11.43811027,7.821412479,2.191030313,1.462409801,280,80,0.549778714,0.928689884,4.780914437
ID3111,3111,689,403,432.6253102,849.2580645,0,0,0,11.32602685,1,,50925,50925,50925,50925,2.05E+07,0,1,Infinity,-0.16722505,0.233870168,17.0913969,7.757148731,2.802111332,2.203309166,403,104,0.468218136,0.894561598,5.180609006
ID3112,3112,66,286,398.6223776,643.0384615,0,0,0,9.541311621,1,,51951,51951,51951,51951,1.49E+07,0,0.992117822,Infinity,-0.03757028,-0.013491375,12.06027889,7.725944405,1.398486638,1.561010313,286,78,0.590726824,0.931596091,4.612236689
ID2602,2602,20,262,951.0419847,867.3282443,0,0,0,9.132206206,1,,22923,22923,22923,22923,6005826,0,1,Infinity,0.038484209,-0.052499008,11.75269422,7.226758181,0.01519659,1.626274732,262,74,0.601239792,0.944144144,4.571735268
ID3114,3114,67,452,956.9269912,559.3584071,0,0,0,11.99483508,1,,62706,62706,62706,62706,2.83E+07,0,1,Infinity,-0.031281261,0.331100204,19.73909455,7.46763083,1.347227293,2.643287409,452,112,0.452806084,0.907630522,5.268036863
ID3115,3115,68,280,557.0571429,283.4607143,0,0,0,9.440697439,1,,15091,15091,15091,15091,4225480,0,1,Infinity,0.044817907,-0.031542012,12.07613129,7.580083756,-0.056205652,1.593139559,280,80,0.549778714,0.91954023,4.780914437
ID3116,3116,69,244,32.12295082,548.9221311,0,0,0,8.812923024,1,,17143,17143,17143,17143,4182892,0,1,Infinity,-0.248314869,0.023534034,10.99188373,7.387874838,2.782733036,1.487827552,244,72,0.591472691,0.93129771,4.609327678
ID2861,2861,142,197,505.1015228,623.7969543,0,0,0,7.918778162,1,,36282,36282,36282,36282,7147554,0,0.955274544,Infinity,-0.045974072,0.007344706,8.516354955,7.506167628,-0.251681511,1.134580971,197,64,0.60438843,0.920560748,4.559811199
ID3117,3117,71,330,773.4727273,650.369697,0,0,0,10.24901275,1,,49143,49143,49143,49143,1.62E+07,0,1,Infinity,-0.198764329,0.16826536,14.99040048,7.15110323,2.884197609,2.096236063,330,92,0.489945924,0.914127424,5.06443332
ID3118,3118,72,245,221.6326531,875.844898,0,0,0,8.830963827,1,,57849,57849,57849,57849,1.42E+07,0,1,Infinity,-0.047407956,0.024504544,10.29174563,7.724104617,-1.383514358,1.332419244,245,74,0.56222805,0.91588785,4.727686581
ID2352,2352,158,241,410.7219917,799.1286307,0,0,0,8.758577657,1,,64611,64611,64611,64611,1.56E+07,0,1,Infinity,-0.0342461,0.018453567,9.936520106,7.841101494,1.629495086,1.267235236,241,72,0.584200486,0.928709056,4.63792771
ID2608,2608,24,370,373.9918919,739.8513514,0,0,0,10.85240332,1,,19340,19340,19340,19340,7155800,0,1,Infinity,0.813108468,-0.060240345,17.79519193,7.429531213,2.897636074,2.395197142,370,96,0.504509237,0.902439024,4.990802351
ID2866,2866,103,225,853.8666667,639.4133333,0,0,0,8.462843753,1,,61115,61115,61115,61115,1.38E+07,0,1,Infinity,-0.028117043,0.01668704,10.57030586,6.832311005,1.191982812,1.54710549,225,70,0.577027222,0.927835052,4.666666667
ID2613,2613,29,202,287.3663366,316.3514851,0,0,0,8.018640596,1,,11661,11661,11661,11661,2355522,0,0.921756823,Infinity,-0.033920806,-0.003740515,9.968052056,6.441162482,0.631918177,1.547554822,202,68,0.548963422,0.918181818,4.784463304
ID2615,2615,677,162,795.7592593,798.0061728,0,0,0,7.180961047,1,,49038,49038,49038,49038,7944156,0,0.975822024,Infinity,0.066194911,0.018190313,7.393655698,7.068731536,1.411750414,1.045966403,162,58,0.605158157,0.923076923,4.556910368
ID2361,2361,674,193,324.7927461,504.6839378,0,0,0,7.837972189,1,,62056,62056,62056,62056,1.20E+07,0,1,Infinity,-0.027949256,-0.123970547,9.369210901,6.616890821,2.547202235,1.415953679,193,64,0.592116584,0.939172749,4.606820805
