Specie,Condition,replicate,FOV,um2_biomass0,k,r_squared,n_points,cell_num_t0,max_time
PY1,no-supernatant,1,1,23.739285503783623,0.01992110984457147,0.9253275135689757,99,66,163.33
PY1,no-supernatant,1,2,19.616496058490398,0.022354851475068927,0.9776520732470312,99,54,163.33
PY1,no-supernatant,1,3,32.941070761477,0.01885861005996039,0.9782081898706825,99,62,163.33
PY1,no-supernatant,2,1,84.82816073725743,0.022462832777385703,0.9844009644684655,73,86,120.0
PY1,no-supernatant,2,2,58.04928850621464,0.02638678138746348,0.9856081710205398,73,65,120.0
PY1,no-supernatant,2,3,49.26894621843016,0.021906305186286584,0.9948554606571137,73,63,120.0
PY1,no-supernatant,3,1,146.148495956679,0.007743682484089354,0.9555290262108266,71,125,116.67
PY1,no-supernatant,3,2,164.83636936088408,0.0059153906022267845,0.9005902062909451,71,136,116.67
PY1,no-supernatant,3,3,119.65074418182093,0.01099484067594613,0.9634733876953915,71,103,116.67
PY1,supernatant,1,1,44.00124397712029,0.027415693098802176,0.9969225693051632,62,60,101.67
PY1,supernatant,1,2,97.68800757400986,0.027295770115649678,0.9963037919711252,62,152,101.67
PY1,supernatant,1,3,113.4672065685317,0.0266963693542894,0.9970833040346605,62,137,101.67
PY1,supernatant,2,1,222.98447096762428,0.008464314587581357,0.7236576522644736,38,222,61.67
PY1,supernatant,2,2,188.09642632172682,0.01583569249903606,0.6696069213649313,38,215,61.67
PY1,supernatant,2,3,180.33977478882352,0.013326064049188976,0.5911163755124502,38,188,61.67
PY1,supernatant,3,1,110.34554884027776,0.01322368484712748,0.9627241288162299,65,101,113.33
PY1,supernatant,3,2,56.41845195791489,0.025674374428326638,0.9989750319038301,64,38,113.33
PY1,supernatant,3,3,68.4393875303334,0.017550798632612982,0.9881885713057791,65,94,113.33
europaea,no-supernatant,1,1,73.64716520368184,0.045029203186594556,0.9933698414693047,30,89,24.17
europaea,no-supernatant,1,2,73.84760288728245,0.044054336681451596,0.9877397899205308,30,82,24.17
europaea,no-supernatant,1,3,87.91380242465897,0.04413770133619546,0.9932705945478476,30,79,24.17
europaea,no-supernatant,2,1,241.3025076684729,0.048535322097043435,0.9819895662848166,40,256,32.5
europaea,no-supernatant,2,2,148.2118550112067,0.0466665239437573,0.9950671447193813,40,180,32.5
europaea,no-supernatant,2,3,151.86664492122839,0.05399235068515102,0.9976317434969798,40,171,32.5
europaea,no-supernatant,3,1,190.36736859667224,0.0395904052439677,0.9691115743217574,40,177,32.5
europaea,no-supernatant,3,2,399.1928184899161,0.02144338480494403,0.9204183854445916,20,421,15.83
europaea,no-supernatant,3,3,236.85034904001276,0.04420045473138999,0.9600459103439825,40,238,32.5
