Model,min_val,max_val,min_x,max_x,p0,p1,p2,p3,sigma_p0,sigma_p1,sigma_p2,sigma_p3
max_Ad,0.6722763251792977,3.803829245095528,5.0,115.0,2.6526186016203366,0.0671900042285564,8.50605938358254,,,,,
Ad_sizer,0.6722763251792977,3.803829245095528,13956.523016927384,1562798.3840780812,4.004518697533043,4.253895517789903e-06,4.743104517307417e-05,1.2825695312394958,0.717638740754692,2.391271497041316e-06,2.7273332454178815e-09,0.1268331211203302
