Spot.ID,Frame,Area,Quality,Source.spot.ID,IF_Divided,Time,generation_count,track
2561,0,0.7238835,174,NA,N,0,0,1
2379,1,0.68644125,165,2561,N,1.66666666666667,0,1
2482,2,0.65315925,157,2379,N,3.33333333333333,0,1
2672,3,0.63651825,153,2482,N,5,0,1
2464,4,0.6906015,166,2672,N,6.66666666666667,0,1
2429,5,0.582435,140,2464,N,8.33333333333333,0,1
2938,6,0.76964625,185,2429,N,10,0,1
2463,7,0.76964625,185,2938,N,11.6666666666667,0,1
3622,8,0.69476175,167,2463,N,13.3333333333333,0,1
3325,9,0.7738065,186,3622,N,15,0,1
3246,10,0.648999,156,3325,N,16.6666666666667,0,1
3716,11,0.698922,168,3246,N,18.3333333333333,0,1
3078,12,0.6906015,166,3716,N,20,0,1
3634,13,0.698922,168,3078,N,21.6666666666667,0,1
3954,14,0.7072425,170,3634,N,23.3333333333333,0,1
3785,15,0.60323625,145,3954,N,25,0,1
4370,16,0.632358,152,3785,N,26.6666666666667,0,1
5160,17,0.66980025,161,4370,N,28.3333333333333,0,1
4472,18,0.75300525,181,5160,N,30,0,1
4704,19,0.74468475,179,4472,N,31.6666666666667,0,1
5011,20,0.66980025,161,4704,N,33.3333333333333,0,1
4501,21,0.698922,168,5011,N,35,0,1
4474,22,0.63651825,153,4501,N,36.6666666666667,0,1
4522,23,0.5907555,142,4474,N,38.3333333333333,0,1
5628,24,0.57827475,139,4522,N,40,0,1
5699,25,0.582435,140,5628,N,41.6666666666667,0,1
6225,28,0.5741145,138,5699,N,46.6666666666667,0,1
5587,29,0.52003125,125,6225,N,48.3333333333333,0,1
5996,30,0.532512,128,5587,N,50,0,1
7586,33,0.65315925,157,5996,N,55,0,1
7713,41,0.53667225,129,7586,N,68.3333333333333,0,1
8695,43,0.582435,140,7713,N,71.6666666666667,0,1
8771,44,0.63651825,153,8695,N,73.3333333333333,0,1
8301,45,0.6573195,158,8771,N,75,0,1
9369,49,0.55331325,133,8301,N,81.6666666666667,0,1
10085,50,0.62819775,151,9369,N,83.3333333333333,0,1
10550,51,0.61155675,147,10085,N,85,0,1
10194,52,0.632358,152,10550,N,86.6666666666667,0,1
9838,53,0.5907555,142,10194,N,88.3333333333333,0,1
10438,54,0.66147975,159,9838,N,90,0,1
10617,55,0.56995425,137,10438,N,91.6666666666667,0,1
11133,56,0.55331325,133,10617,N,93.3333333333333,0,1
11050,57,0.5741145,138,11133,N,95,0,1
2819,0,0.74468475,179,NA,N,0,0,2
2753,1,0.73636425,177,2819,N,1.66666666666667,0,2
2915,2,0.76964625,185,2753,N,3.33333333333333,0,2
2898,3,0.848691,204,2915,N,5,0,2
