Spot.ID,Frame,Area,Quality,Source.spot.ID,IF_Divided,Time,generation_count,track
2268,0,1.29383775,311,NA,N,0,0,1
2308,1,1.4228055,342,2268,N,1.66666666666667,0,1
2292,2,1.49769,360,2308,N,3.33333333333333,0,1
2410,3,1.50185025,361,2292,N,5,0,1
2356,4,1.647459,396,2410,N,6.66666666666667,0,1
2415,5,1.6391385,394,2356,N,8.33333333333333,0,1
2028,6,1.75146525,421,2415,N,10,0,1
2277,7,1.81802925,437,2028,N,11.6666666666667,0,1
3391,8,1.83051,440,2277,N,13.3333333333333,0,1
3583,9,1.85131125,445,3391,N,15,0,1
3286,10,1.88459325,453,3583,N,16.6666666666667,0,1
3461,11,2.0551635,494,3286,N,18.3333333333333,0,1
3847,12,2.05100325,493,3461,N,20,0,1
3257,13,2.20077225,529,3847,N,21.6666666666667,0,1
3163,14,2.279817,548,3257,N,23.3333333333333,0,1
3656,15,2.63343825,633,3163,N,25,0,1
4471,16,2.745765,660,3656,N,26.6666666666667,0,1
4465,17,2.50863075,603,4471,N,28.3333333333333,0,1
4549,18,2.3547015,566,4465,N,30,0,1
4385,19,2.50031025,601,4549,N,31.6666666666667,0,1
4720,20,1.248075,300,4385,Y,33.3333333333333,1,1
4519,21,1.15238925,277,4720,N,35,1,1
5348,22,1.31879925,317,4519,N,36.6666666666667,1,1
4521,23,1.36040175,327,5348,N,38.3333333333333,1,1
6364,24,1.56009375,375,4521,N,40,1,1
5712,25,1.62665775,391,6364,N,41.6666666666667,1,1
5599,26,1.78474725,429,5712,N,43.3333333333333,1,1
5801,27,1.85963175,447,5599,N,45,1,1
5843,28,1.930356,464,5801,N,46.6666666666667,1,1
5851,29,1.98443925,477,5843,N,48.3333333333333,1,1
5773,30,2.05932375,495,5851,N,50,1,1
6573,31,2.279817,548,5773,N,51.6666666666667,1,1
7703,32,2.2881375,550,6573,N,53.3333333333333,1,1
7104,33,2.512791,604,7703,N,55,1,1
2271,0,1.04422275,251,NA,N,0,0,2
2314,1,1.01926125,245,2271,N,1.66666666666667,0,2
2295,2,1.0733445,258,2314,N,3.33333333333333,0,2
2412,3,1.16070975,279,2295,N,5,0,2
2366,4,1.16487,280,2412,N,6.66666666666667,0,2
2419,5,1.314639,316,2366,N,8.33333333333333,0,2
2029,6,1.18567125,285,2419,N,10,0,2
2282,7,1.2231135,294,2029,N,11.6666666666667,0,2
3394,8,1.27719675,307,2282,N,13.3333333333333,0,2
3587,9,1.181511,284,3394,N,15,0,2
3288,10,1.4893695,358,3587,N,16.6666666666667,0,2
3469,11,1.28551725,309,3288,N,18.3333333333333,0,2
3855,12,1.30215825,313,3469,N,20,0,2
3259,13,1.4061645,338,3855,N,21.6666666666667,0,2
3164,14,1.52681175,367,3259,N,23.3333333333333,0,2
3669,15,1.5226515,366,3164,N,25,0,2
