Model,z_min,z_max,p0,p1,p2,p3,sigma_p0,sigma_p1,sigma_p2,sigma_p3,p4
generation_time_3D,5.0,115.0,26378.465955440584,0.6045121502450846,0.5569571691681519,6.135600921177233,0.4217348564827591,114.47289035176892,140.3339420426713,0.43408458429794716,
elongation_rate_3D,0.0063035669048828,0.0597448054807645,0.06386412371917448,0.8432223737318045,0.5511880863532364,-0.2607830308207957,0.008051359095969284,1.6150000758913194,4.752343956543586,,-7.884781610125601
