Model,z_min,z_max,p0,p1,p2,p3,sigma_p0,sigma_p1,sigma_p2,sigma_p3,p4
generation_time_3D,6.670000000000002,65.0,385.06560415744343,0.24020746364779802,0.5765226046028606,1.889351170258937e-09,0.0,24.092402838118936,452.8275954140595,0.2406083001794353,
elongation_rate_3D,0.0095125859931759,0.0440693104444577,23.92704489597378,0.2336568720161627,0.09767355226451893,28.73124942381542,0.005615680928428026,3.7605284420182166,4.56118440047163,,-12.920505154791607
