Model,min_val,max_val,min_x,max_x,p0,p1,p2,p3,sigma_p0,sigma_p1,sigma_p2,sigma_p3
max_Ad,0.7289045118012117,3.090900196400008,6.670000000000002,65.0,1.4308777480859785,0.16331829467494663,1.3743103489668366e-10,,,,,
Ad_sizer,0.7289045118012117,3.090900196400008,45280.4059060167,1136152.547393289,2.1710737098820725,1.311059564063633e-06,45280.405241176464,0.8188186826523407,0.3671285709478315,2.137491308615309e-06,7.332850801225249e-13,0.10709652942921186
